ticket_id,order_id,comment_text,sentiment
110,1391,Can't track my shipping number on the website.,Positive
111,1243,Where is my order? It's been 10 days.,Negative
112,1523,My dumbbells arrived but they are scratched.,Neutral
113,1034,The assembly instructions for the rack are very confusing.,Positive
114,1761,"Amazing service, very fast response!",Positive
115,1197,"I want to return the bench, it's too big for my room.",Positive
116,1999,The weight plates are missing from the package.,Positive
117,2075,Can't track my shipping number on the website.,Negative
118,1797,"Amazing service, very fast response!",Neutral
119,1688,Instruction manual is missing pages 4 and 5.,Positive
120,1372,"I want to return the bench, it's too big for my room.",Negative
121,1238,"Amazing service, very fast response!",Neutral
122,1850,My dumbbells arrived but they are scratched.,Negative
123,1624,"Delivery was late, but the product quality is amazing.",Neutral
124,1346,"I want to return the bench, it's too big for my room.",Positive
125,2085,"Delivery was late, but the product quality is amazing.",Positive
126,1198,"Amazing service, very fast response!",Negative
127,1369,Where is my order? It's been 10 days.,Neutral
128,1483,Is this bench compatible with the PRO rack?,Positive
129,1905,"Delivery was late, but the product quality is amazing.",Neutral
130,2016,"Amazing service, very fast response!",Positive
131,1470,My dumbbells arrived but they are scratched.,Negative
132,1704,My dumbbells arrived but they are scratched.,Negative
133,1058,The weight plates are missing from the package.,Neutral
134,1262,My dumbbells arrived but they are scratched.,Negative
135,1971,My dumbbells arrived but they are scratched.,Negative
136,1906,Is this bench compatible with the PRO rack?,Positive
137,1834,Where is my order? It's been 10 days.,Positive
138,1868,The assembly instructions for the rack are very confusing.,Neutral
139,1250,Can't track my shipping number on the website.,Positive
140,2033,The assembly instructions for the rack are very confusing.,Negative
141,1639,The assembly instructions for the rack are very confusing.,Negative
142,1207,Where is my order? It's been 10 days.,Negative
143,1118,"Delivery was late, but the product quality is amazing.",Neutral
144,1394,The weight plates are missing from the package.,Positive
145,1468,"Amazing service, very fast response!",Positive
146,1099,Can't track my shipping number on the website.,Neutral
147,1278,"Amazing service, very fast response!",Positive
148,1037,Can't track my shipping number on the website.,Negative
149,2001,"Delivery was late, but the product quality is amazing.",Positive
150,1263,"I want to return the bench, it's too big for my room.",Negative
151,1957,Where is my order? It's been 10 days.,Neutral
152,1646,Where is my order? It's been 10 days.,Positive
153,1177,Is this bench compatible with the PRO rack?,Neutral
154,1395,"I want to return the bench, it's too big for my room.",Positive
155,1986,Where is my order? It's been 10 days.,Neutral
156,1208,Can't track my shipping number on the website.,Neutral
157,1525,Instruction manual is missing pages 4 and 5.,Neutral
158,1517,Can't track my shipping number on the website.,Neutral
159,1719,"I want to return the bench, it's too big for my room.",Positive
160,1623,Instruction manual is missing pages 4 and 5.,Neutral
161,1984,Is this bench compatible with the PRO rack?,Positive
162,1097,"I want to return the bench, it's too big for my room.",Negative
163,1899,The assembly instructions for the rack are very confusing.,Negative
164,1885,"Delivery was late, but the product quality is amazing.",Negative
165,1227,Where is my order? It's been 10 days.,Negative
166,2049,Is this bench compatible with the PRO rack?,Neutral
167,1454,Where is my order? It's been 10 days.,Positive
168,1481,Where is my order? It's been 10 days.,Neutral
169,1016,My dumbbells arrived but they are scratched.,Negative
170,1944,My dumbbells arrived but they are scratched.,Positive
171,1280,My dumbbells arrived but they are scratched.,Negative
172,1335,My dumbbells arrived but they are scratched.,Neutral
173,1439,Is this bench compatible with the PRO rack?,Neutral
174,1212,My dumbbells arrived but they are scratched.,Positive
175,1586,The assembly instructions for the rack are very confusing.,Neutral
176,1646,The assembly instructions for the rack are very confusing.,Positive
177,1860,The assembly instructions for the rack are very confusing.,Positive
178,1678,Is this bench compatible with the PRO rack?,Neutral
179,1285,Where is my order? It's been 10 days.,Positive
180,1214,Can't track my shipping number on the website.,Negative
181,1662,The assembly instructions for the rack are very confusing.,Negative
182,1924,Is this bench compatible with the PRO rack?,Positive
183,1688,The assembly instructions for the rack are very confusing.,Neutral
184,1927,"Delivery was late, but the product quality is amazing.",Negative
185,2070,The assembly instructions for the rack are very confusing.,Neutral
186,1406,"Amazing service, very fast response!",Neutral
187,2120,My dumbbells arrived but they are scratched.,Negative
188,1325,Instruction manual is missing pages 4 and 5.,Positive
189,1260,Is this bench compatible with the PRO rack?,Negative
190,2100,"I want to return the bench, it's too big for my room.",Positive
191,1818,My dumbbells arrived but they are scratched.,Neutral
192,2014,My dumbbells arrived but they are scratched.,Positive
193,1126,The weight plates are missing from the package.,Neutral
194,1772,"I want to return the bench, it's too big for my room.",Positive
195,1722,"Delivery was late, but the product quality is amazing.",Neutral
196,1274,The assembly instructions for the rack are very confusing.,Positive
197,1825,My dumbbells arrived but they are scratched.,Negative
198,2040,The assembly instructions for the rack are very confusing.,Negative
199,1143,Instruction manual is missing pages 4 and 5.,Positive
200,1476,The assembly instructions for the rack are very confusing.,Neutral
